,0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
143,687,Wilk Elektronik GOODRAM CX300 SSDPR-CX300-240,https://kakaku.com/item/K0001048498/,240.0,555.0,540.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,6480
144,348,インテル D3-S4510 SSDSC2KB240G801,https://kakaku.com/item/K0001083155/,240.0,560.0,280.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,12539
145,569,インテル D3-S4610 SSDSC2KG240G801,https://kakaku.com/item/K0001105354/,240.0,560.0,320.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,18780
146,235,トランセンド MTS420 TS240GMTS420S,https://kakaku.com/item/K0001018668/,240.0,560.0,500.0,M.2(Type2242),SerialATA6Gb/s,3DNANDTLC,3.58mm,4780
147,140,ABONMAX AB-SSD-240GB,https://kakaku.com/item/K0001193809/,240.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,3590
148,742,LITEON MU 3 PH6-CE240,https://kakaku.com/item/K0001052463/,240.0,560.0,520.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,9328
149,447,トランセンド JetDrive 420 TS240GJDM420,https://kakaku.com/item/K0000690810/,240.0,570.0,310.0,0,SerialATA6Gb/s,同期型MLC,0,8980
150,321,トランセンド JetDrive 500 TS240GJDM500,https://kakaku.com/item/K0000680349/,240.0,570.0,460.0,0,SerialATA6Gb/s,MLC,0,13856
151,694,SUPER TALENT USB3.1 Portable RAIDDrive FUW240UCU0,https://kakaku.com/item/K0000896517/,240.0,750.0,700.0,0,USB,TLC,0,6980
152,739,Colorful CN600 240G,https://kakaku.com/item/K0000981376/,240.0,800.0,700.0,M.2(Type2280),PCI-Express,TLC,5mm,9183
153,795,トランセンド JetDrive 820 TS240GJDM820,https://kakaku.com/item/K0000999661/,240.0,950.0,550.0,0,PCI-Express,3DTLC,0.8mm,12800
154,536,プリンストン PHD-PS240GU,https://kakaku.com/item/K0001186879/,240.0,1000.0,800.0,0,USB,3DTLCNAND,0,9235
155,749,トランセンド TS240GESD350C [ネイビーブルー],https://kakaku.com/item/K0001162151/,240.0,1050.0,950.0,0,USB,3DNAND,0,9480
156,564,グリーンハウス GH-SSDTB3A240,https://kakaku.com/item/K0001096011/,240.0,1400.0,750.0,2.5インチ,0,TLC,0,15710
157,67,ESSENCORE KLEVV CRAS C700 M.2 K240GM2SP0-C70,https://kakaku.com/item/K0001185425/,240.0,1500.0,1000.0,M.2(Type2280),PCI-Express,3DNAND,2.8mm,4378
158,549,トランセンド JetDrive 850 TS240GJDM850,https://kakaku.com/item/K0001104676/,240.0,1600.0,700.0,0,PCI-Express,3DNAND,0.8mm,11992
159,740,Colorful CN600S 240GB,https://kakaku.com/item/K0001073107/,240.0,2000.0,1200.0,M.2(Type2280),PCI-Express,3DTLCNAND,5mm,9210
160,387,グリーンハウス GH-SSDRMPA240,https://kakaku.com/item/K0001147811/,240.0,3000.0,1000.0,M.2(Type2280),PCI-Express,3DTLC,2mm,5550
161,339,Corsair Force Series MP510 CSSD-F240GBMP510,https://kakaku.com/item/K0001098772/,240.0,3100.0,1050.0,M.2(Type2280),PCI-Express,3DTLCNAND,3mm,6490
162,752,ADATA XPG GAMMIX S11 AGAMMIXS11-240GT-C,https://kakaku.com/item/K0001069560/,240.0,3200.0,1100.0,M.2(Type2280),PCI-Express,3DNANDTLC,3.5mm,9655
163,692,HP P500 7PD51AA#UUF [シルバー],https://kakaku.com/item/K0001204293/,250.0,370.0,200.0,0,USB,3DNAND,0,6980
164,670,エレコム ESD-EJ0250GBK [ブラック],https://kakaku.com/item/K0001214594/,250.0,400.0,320.0,0,USB,0,0,5525
165,831,SANDISK エクストリーム500 SDSSDEXT-250G-J25,https://kakaku.com/item/K0000945501/,250.0,415.0,365.0,0,USB,0,0,15636
166,524,エレコム ESD-EF0250GSV [シルバー],https://kakaku.com/item/K0001188704/,250.0,430.0,400.0,0,USB,0,0,7309
167,712,サムスン T1 MU-PS250B/IT,https://kakaku.com/item/K0000736865/,250.0,450.0,450.0,0,USB,3DV-NAND,9.2mm,7980
168,790,WESTERN DIGITAL WD Blue WDS250G1B0B,https://kakaku.com/item/K0000918978/,250.0,540.0,500.0,M.2(Type2280),SerialATA6Gb/s,TLC,2.23mm,11980
169,681,サムスン MZ-7TE250B/IT,https://kakaku.com/item/K0000546768/,250.0,540.0,520.0,2.5インチ,SerialATA6Gb/s,3bitMLC,6.8mm,6217
170,439,サムスン T5 MU-PA250B/IT [ブルー],https://kakaku.com/item/K0000990361/,250.0,540.0,540.0,0,USB,V-NAND,0,7560
171,228,サムスン 860 EVO MZ-76E250B/IT,https://kakaku.com/item/K0001027991/,250.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,V-NAND3bitMLC,6.8mm,6490
172,31,WESTERN DIGITAL WD Blue 3D NAND SATA WDS250G2B0A,https://kakaku.com/item/K0000969846/,250.0,550.0,525.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,4966
